Chain,ShowNumber,CastNumber,CastName,ImprovTeams_Link
2,1,1,Kelsey McLaughlin,http://newyork.improvteams.com/performers/5006/kelseymclaughlin
2,1,2,Amelia Bane,http://newyork.improvteams.com/performers/7238/ameliabane
2,1,3,Liisa Murray,http://newyork.improvteams.com/performers/4253/liisamurray
2,1,4,Kiki Tarkhan,http://newyork.improvteams.com/performers/2955/kikitarkhan
2,1,5,Rachel Chapman,http://newyork.improvteams.com/performers/3746/rachel_chapman
2,1,6,Anna Mejorada,http://newyork.improvteams.com/performers/3285/annamejorada
2,2,1,Anna Mejorada,http://newyork.improvteams.com/performers/3285/annamejorada
2,2,2,Jane Stolar,None
1,1,1,Brian Urreta,http://newyork.improvteams.com/performers/2017/brianurreta
1,1,2,Sara Feinstein,http://newyork.improvteams.com/performers/3038/sarafeinstein
1,1,3,Zach Goldbaum,http://newyork.improvteams.com/performers/4336/zachgoldbaum
1,1,4,James Folta,http://newyork.improvteams.com/performers/4446/jamesfolta
1,1,5,Alex French,http://newyork.improvteams.com/performers/1961/alexfrench
1,1,6,Lou Gonzalez,http://newyork.improvteams.com/performers/1743/lougonzalez
1,2,1,Lou Gonzalez,http://newyork.improvteams.com/performers/1743/lougonzalez
1,2,2,Murf Meyer,http://newyork.improvteams.com/performers/2327/murfmeyer
