ShowNumber,CastNumber,Date,Show_Casat,CastName_1,ImprovTeams_1,CastName_2,ImprovTeams_2
1,1,3-Jan,1-Jan,Kelsey McLaughlin,http://newyork.improvteams.com/performers/5006/kelseymclaughlin,Brian Urreta,http://newyork.improvteams.com/performers/2017/brianurreta
1,2,3-Jan,2-Jan,Amelia Bane,http://newyork.improvteams.com/performers/0/annamejorada,Sara Feinstein,http://newyork.improvteams.com/performers/3038/sarafeinstein
1,3,3-Jan,3-Jan,Liisa Murray,http://newyork.improvteams.com/performers/4253/liisamurray,Zach Goldbaum,http://newyork.improvteams.com/performers/4336/zachgoldbaum
1,4,3-Jan,4-Jan,Kiki Tarkhan,http://newyork.improvteams.com/performers/2955/kikitarkhan,James Folta,http://newyork.improvteams.com/performers/4446/jamesfolta
1,5,3-Jan,5-Jan,Rachel Chapman,http://newyork.improvteams.com/performers/3746/rachel_chapman,Alex French,http://newyork.improvteams.com/performers/1961/alexfrench
1,6,3-Jan,6-Jan,Anna Mejorada,http://newyork.improvteams.com/performers/3285/annamejorada,Lou Gonzalez,http://newyork.improvteams.com/performers/1743/lougonzalez
2,1,7-Feb,1-Feb,Anna Mejorada,http://newyork.improvteams.com/performers/3285/annamejorada,Lou Gonzalez,http://newyork.improvteams.com/performers/1743/lougonzalez
2,2,7-Feb,2-Feb,Jane Stolar,http://newyork.improvteams.com/performers/0/annamejorada,Murf Meyer,http://newyork.improvteams.com/performers/2327/murfmeyer
2,3,7-Feb,3-Feb,Zak Sommerfield,http://newyork.improvteams.com/performers/5041/zaksommerfield,Lucas Hazlett,http://newyork.improvteams.com/performers/1045/lucashazlett
2,4,7-Feb,4-Feb,Vincent Moore,http://newyork.improvteams.com/performers/3297/vincentmoore,Diana Kolsky,http://newyork.improvteams.com/performers/238/dianimalkolsky
2,5,7-Feb,5-Feb,Matt Czap,http://newyork.improvteams.com/performers/3426/mattczap,Alyssa Stonoha,http://newyork.improvteams.com/performers/6494/alyssastonoha
2,6,7-Feb,6-Feb,Trumane Alston,http://newyork.improvteams.com/performers/5178/trumanealston,Emma Noble,http://newyork.improvteams.com/performers/3088/emmanoble
